Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
16962,46250,Saint-Caprais,saint-caprais,SAINT-CAPRAIS,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,200035327,CC Cazals-Salviac,46250.0,7607.0,46042,46000,0.0,85,910,9,9.0,44.613,1.155,7,Rural à habitat très dispersé,21.74558236601326
16963,46251,Saint-Céré,saint-cere,SAINT-CÉRÉ,COM,commune,76,Occitanie,46,Lot,4616,Saint-Céré,200066371,CC Causses et Vallée de la Dordogne,46400.0,7619.0,46128,46105,1.0,3438,1138,11,302.0,44.853,1.893,5,Bourgs ruraux,1.1021843175879809
16964,46252,Les Pechs du Vers,les-pechs-du-vers,LES PECHS DU VERS,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,244600573,CC du Causse de Labastide-Murat,46360.0,7607.0,46042,46000,0.0,310,1628,16,19.0,44.599,1.585,7,Rural à habitat très dispersé,20.7973979595011
16965,46253,Saint-Chamarand,saint-chamarand,SAINT-CHAMARAND,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,244600482,CC Quercy - Bouriane,46310.0,7607.0,46042,46000,0.0,181,1307,13,14.0,44.684,1.459,7,Rural à habitat très dispersé,8.66616126745579
16966,46254,Saint-Chels,saint-chels,SAINT-CHELS,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200067361,CC Grand-Figeac,46160.0,7611.0,12300,46000,0.0,136,1809,18,8.0,44.526,1.815,7,Rural à habitat très dispersé,19.761653648102442
16967,46255,Saint-Cirgues,saint-cirgues,SAINT-CIRGUES,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46210.0,7611.0,12300,46000,0.0,326,3248,32,10.0,44.736,2.116,7,Rural à habitat très dispersé,15.408087760777534
16968,46256,Saint-Cirq-Lapopie,saint-cirq-lapopie,SAINT-CIRQ-LAPOPIE,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200023737,CA du Grand Cahors,46330.0,7607.0,46042,46000,0.0,203,1803,18,11.0,44.456,1.654,7,Rural à habitat très dispersé,17.284625252366602
16969,46257,Saint-Cirq-Madelon,saint-cirq-madelon,SAINT-CIRQ-MADELON,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,244600482,CC Quercy - Bouriane,46300.0,7607.0,46042,46000,0.0,143,753,8,19.0,44.79,1.317,7,Rural à habitat très dispersé,7.7896189982468735
16970,46258,Saint-Cirq-Souillaguet,saint-cirq-souillaguet,SAINT-CIRQ-SOUILLAGUET,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,244600482,CC Quercy - Bouriane,46300.0,7607.0,46042,46000,0.0,167,852,9,20.0,44.705,1.441,7,Rural à habitat très dispersé,6.175785127380419
16971,46259,Saint-Clair,saint-clair,SAINT-CLAIR,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,244600482,CC Quercy - Bouriane,46300.0,7607.0,46042,46000,0.0,140,1086,11,13.0,44.694,1.399,7,Rural à habitat très dispersé,4.729724961861911
