nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
330781253;CENTRE HOSPITALIER DE LIBOURNE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;752607093;2023-06-26;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;7093;;75-72-77751;75-72-77751;;;2023-06-28;2030-06-27
330781253;CENTRE HOSPITALIER DE LIBOURNE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752602372;2018-03-05;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;2372;;75-72-65836;75-72-65836;;;2021-06-28;2028-12-27
330007386;CENTRE AQUITAIN DIALYSE DOMICILE- CA3D;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752604571;2011-06-29;330007410;ANTENNE AUTODIALYSE ET UDM CA3D;4571;;75-72-38186;75-72-38186;;;2013-09-16;2026-03-15
330000266;MAISON DU REIN AURAD-AQUITAINE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752602342;2019-05-27;330007634;ANTENNE AUTODIALYSE AURAD LA TESTE;2342;;75-72-71055;75-72-71055;;;2022-05-20;2029-11-19
330781253;CENTRE HOSPITALIER DE LIBOURNE;04;Psychiatrie;06;Générale;03;Hospitalisation à temps partiel de jour;752608920;1978-07-12;330008087;HOPITAL DE JOUR ADULTES LA MARGERIDE;8920;;75-72-38268;75-72-38268;;;2011-08-03;2022-02-02
330781253;CENTRE HOSPITALIER DE LIBOURNE;04;Psychiatrie;06;Générale;03;Hospitalisation à temps partiel de jour;752604582;1978-07-12;330008095;HOPITAL DE JOUR ADULTES CLE DES CHAMPS;4582;;75-72-19212;75-72-19212;;;2011-08-03;2022-02-02
330781253;CENTRE HOSPITALIER DE LIBOURNE;04;Psychiatrie;06;Générale;03;Hospitalisation à temps partiel de jour;752604583;1978-07-12;330008103;HOPITAL DE JOUR ADULTES LE MAGNOLIA;4583;;75-72-19213;75-72-19213;;;2011-08-03;2022-02-02
330000134;SA POLYCLINIQUE BORDEAUX RIVE DROITE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;40;Hémodialyse en centre pour adultes;00;Pas de forme;752608897;2007-02-06;330017989;CENTRE HEMODIALYSE BX RIVE DROITE;8897;;75-72-38024;75-72-38024;;;2010-02-11;2027-08-10
330000134;SA POLYCLINIQUE BORDEAUX RIVE DROITE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;752608898;2007-02-06;330017989;CENTRE HEMODIALYSE BX RIVE DROITE;8898;;75-72-38025;75-72-38025;;;2010-02-11;2027-08-10
330034539;SELAS L.A.M. SYNLAB NOUVELLE-AQUITAINE;17;AMP DPN;51;AMP Bio : préparation et conservation du sperme en vue d'une insémination artificielle;00;Pas de forme;752605165;2010-03-09;330034489;LBM SYNLAB NOUVELLE-AQUITAINE - LIBOUR;5165;;75-72-42575;75-72-42575;;;2010-01-20;2027-07-18
