nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
GIE IMAGER;05705;Tomographe à émissions;532610456;53-53-68520;53-53-68520;2018-12-27;350053203;2019-05-06;
GIE IMAGER;05705;Tomographe à émissions;532610457;53-53-74142;53-53-74142;2020-11-09;350053203;2022-09-16;
SELAS CENTRE D'EXPLORATION ISOTOPIQUE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610850;53-53-77005;53-53-77005;2022-12-29;350056446;;
GIE IMAGER;05705;Tomographe à émissions;532610852;53-53-77073;53-53-77073;2022-12-29;350056453;;
CH LA TOUR BLANCHE ISSOUDUN;05602;Scanographe à utilisation médicale;242610459;24-24-46090;24-24-46090;2013-04-22;360000038;2014-01-06;
CH DE CHATEAUROUX  LE BLANC;06201;Appareil d'IRM à utilisation clinique;242610460;24-24-60176;24-24-60176;2016-10-14;360000137;2018-06-18;
CH DE CHATEAUROUX  LE BLANC;05602;Scanographe à utilisation médicale;242610461;24-24-1161;24-24-1161;2010-06-15;360000137;2013-09-01;
CH DE CHATEAUROUX  LE BLANC;05602;Scanographe à utilisation médicale;242610462;24-24-736;24-24-736;2000-07-04;360000137;2002-01-28;
CH DE CHATEAUROUX  LE BLANC;05602;Scanographe à utilisation médicale;242610463;24-24-1181;24-24-1181;2009-01-20;360000160;2018-05-31;
CH DE CHATEAUROUX  LE BLANC;06201;Appareil d'IRM à utilisation clinique;242610841;24-24-75150;24-24-75150;2021-07-20;360000160;2024-09-16;
SAS IMEDI;06201;Appareil d'IRM à utilisation clinique;242610465;24-24-74055;24-24-74055;2020-07-09;360008049;2023-03-27;
SAS IMEDI;06201;Appareil d'IRM à utilisation clinique;242610466;24-24-53251;24-24-53251;2015-03-30;360008049;2017-12-18;
SAS IMEDI;05602;Scanographe à utilisation médicale;242610467;24-24-746;24-24-746;2004-02-04;360008049;2006-01-26;
SAS IMEDI;05602;Scanographe à utilisation médicale;242610853;24-24-73885;24-24-73885;2020-07-20;360008049;2022-04-19;
GIE IRM DE L'INDRE;06201;Appareil d'IRM à utilisation clinique;242610464;24-24-784;24-24-784;2002-07-04;360008353;2004-05-06;
SELARL C.I.B.E.R.;05705;Tomographe à émissions;242610522;24-24-70123;24-24-70123;2018-10-12;360008361;2019-12-17;
SELARL C.I.B.E.R.;05702;Caméra à scintillation avec détecteur d'émission de positons;242610525;24-24-790;24-24-790;2001-07-11;360008361;2002-06-24;
